,TP,FP,TN,FN,Unexpected
"('a', 'à')",407,7,489,87,10
"('à', 'a')",428,2,493,63,14
"('est', 'et')",395,33,464,89,19
"('et', 'est')",303,4,495,183,15
"('ces', 'ses')",368,53,440,127,12
"('ses', 'ces')",306,34,456,187,17
"('ce', 'se')",437,2,488,59,14
"('se', 'ce')",426,3,497,62,12
"('ou', 'où')",455,27,468,36,14
"('où', 'ou')",447,33,464,52,4
"('la', 'là')",456,1,491,36,16
"('là', 'la')",487,13,484,9,7
"('tout', 'tous')",441,23,471,54,11
"('tous', 'tout')",447,27,467,46,13
"('leur', 'leurs')",462,17,480,33,8
"('leurs', 'leur')",476,26,472,20,6
"('ceux', 'ce')",489,34,461,9,7
"('ce', 'ceux')",462,8,483,27,20
"('cette', 'cet')",482,12,484,16,6
"('cet', 'cette')",485,9,490,13,3
